Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1978.0,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
1.0,0,0,0,0,1982.332727272727,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,1,0,0,1965.2947820512827,1
0.0,1,1,0,1,1969.3708835617008,0
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,1,0,0,1965.2947820512827,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
1.07,0,0,0,0,1982.0,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,1,1969.3708835617008,0
1.42,1,1,0,0,1987.0,0
0.0,1,1,0,0,1965.2947820512827,1
0.0,1,1,0,0,1965.2947820512827,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,1,1962.0,1
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1980.5662380952383,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,1,1980.5662380952383,1
0.0,0,0,0,1,1980.5662380952383,1
0.0,1,0,0,1,1965.6434123931624,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,1,0,0,1965.2947820512827,1
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,1,1,0,1965.5015079365085,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1963.4752509157513,1
1.0,0,0,1,0,1982.332727272727,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,1,0,1977.4049404761902,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
7.0,1,0,0,1,1981.43,0
1.0,0,0,0,0,1982.63,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1974.8706507936502,0
3.0,1,0,0,1,1983.426274509804,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,0,1977.0,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,1,1974.8706507936502,0
2.08,0,0,0,0,1984.72,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,1,1980.5662380952383,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,0,1965.2947820512827,1
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,1,0,1971.409944689297,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1976.0,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
1.31,0,0,0,0,1987.0,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,1,1966.54580982906,1
0.0,0,0,0,0,1974.0,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1962.0,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
2.0,1,0,0,0,1984.2399206349207,0
0.0,1,0,0,0,1964.0,0
0.71,1,0,0,1,1986.0,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1979.0,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,1,1965.6434123931624,1
0.0,1,1,0,0,1965.2947820512827,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,1,1964.0,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,1,1980.5662380952383,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1971.5049446892967,0
7.0,1,0,0,1,1979.0,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,0,1966.5417198912196,0
2.08,0,0,0,0,1984.72,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,0,1957.0,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.0,1
0.0,1,1,1,0,1965.5015079365085,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
2.08,0,0,0,0,1984.72,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,1,0,1971.409944689297,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1980.5662380952383,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,1,0,1977.4049404761902,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1957.0,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1954.0,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1962.0,1
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
5.0,1,0,0,0,1981.6682539682542,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,1,1,1966.7267919890571,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,1,1968.0,0
0.0,0,0,0,1,1980.5662380952383,1
0.0,1,0,0,1,1968.5529755350863,0
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,1,1,1,1967.8983330142087,0
0.0,0,0,0,1,1974.8706507936502,0
0.49,0,0,0,1,1985.0,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,1,0,1964.5411153846162,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,0,0,1,1968.5529755350863,0
0.32,0,0,0,1,1982.0,0
0.0,1,0,0,1,1960.0,0
0.0,1,1,0,0,1965.2947820512827,1
0.0,1,1,0,0,1965.2947820512827,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
5.0,1,0,0,0,1981.6682539682542,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1970.0,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1974.0,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,1,1,1980.4962380952381,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1980.5662380952383,1
0.0,0,0,0,0,1971.5049446892967,0
2.0,0,0,0,0,1984.96,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1958.0,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,1,1980.5662380952383,1
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,1,0,0,1974.0,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,1,1974.8706507936502,0
2.08,0,0,0,0,1984.72,1
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,1,0,0,1965.2947820512827,1
0.0,1,0,0,1,1966.0,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1968.0,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
2.0,0,0,0,0,1984.272727272727,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,1,0,0,1965.2947820512827,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1977.0,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,1,0,1971.409944689297,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,1,0,0,1965.2947820512827,1
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
2.08,0,0,0,0,1984.72,1
0.0,0,0,0,1,1980.5662380952383,1
0.0,0,0,0,1,1974.8706507936502,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,1,0,1,1969.3708835617008,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1974.8706507936502,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,0,0,1,1,1980.4962380952381,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1964.0,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,1,1987.0,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
2.0,0,0,0,0,1984.272727272727,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,1,0,0,1967.6722817460322,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1965.6434123931624,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,0,0,0,1,1980.5662380952383,1
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1963.4752509157513,1
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,0,0,0,0,1977.5849404761902,1
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,0,0,0,0,1971.5049446892967,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,0,0,1,1968.5529755350863,0
0.0,1,0,0,0,1966.5417198912196,0
0.0,1,1,0,0,1967.6722817460322,0
