Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.0,1.0,0.0,0.0,0.0,1957.0,1.0
0.0,0.0,0.0,0.0,0.0,1988.0,1.0
0.0,1.0,0.0,0.0,0.0,1958.0,0.0
0.0,0.24782201132201126,0.0,0.0,0.0,1974.328178571429,0.0
0.0,1.0,0.0,0.0,0.0,1978.0,1.0
0.0,1.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,1.0,0.0,0.0,1961.75,0.0
0.0,1.0,0.0,0.0,1.0,1976.0,0.0
0.0,0.0,0.0,0.0,1.0,1985.0,0.0
0.0,1.0,0.0,0.0,0.0,1974.0,0.0
0.0,1.0,0.0,0.0,1.0,1965.250722703388,0.0
0.0,0.0,0.0,0.0,0.0,1986.0,1.0
0.0,1.0,0.0,0.0,0.0,1982.0,0.0
0.0,0.0,0.0,0.0,0.0,1979.0,0.0
0.0,0.0,0.0,0.0,0.0,1965.0,0.0
0.0,1.0,0.0,0.0,0.911190476190476,1982.0,0.0
0.3545994493047399,-0.07020255105046691,0.0,0.0,0.0,1978.0,0.26179995846488874
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.0,1979.25,0.0
0.1139874114031289,1.0,0.0,0.0,0.0,1963.0,0.2544348273633137
0.0,1.0,0.0,0.0,0.0,1957.0,0.0
1.0,0.0,0.0,0.0,0.0,1979.25,0.0
0.0,1.0,1.0,0.0,1.0,1979.0,0.0
0.0,1.0,0.0,0.0,1.0,1973.0,0.0
0.0,0.6,0.0,0.0,0.0,1969.8,0.2
0.0,1.0,1.0,0.0,0.0,1969.0,1.0
0.0,1.0,1.0,0.0,1.0,1982.0,0.0
0.0,0.0,0.0,0.0,0.0,1961.0,1.0
0.0,1.0,0.0,0.0,1.0,1953.0,0.0
0.0,1.0,0.0,0.0,1.0,1974.0,0.0
0.0,1.0,1.0,0.0,0.0,1964.0,1.0
0.0,0.6435635973169844,0.0,0.0,0.08392780988812383,1986.0,0.0
0.0,1.0,0.0,0.0,0.0,1982.0,1.0
0.0,0.0,0.0,0.0,0.0,1956.0,0.0
0.0,0.0,0.0,0.0,0.0,1980.0,1.0
0.0,0.0,0.0,0.0,0.0,1974.695652173913,1.0
0.0,1.0,0.0,0.0,1.0,1953.0,0.0
0.0,1.0,0.0,0.0,0.0,1964.0,0.0
0.0,0.0,0.0,0.0,0.0,1957.0,0.0
0.0,1.0,0.0,0.0,0.0,1971.0,0.0
0.0,1.0,0.0,0.0,1.0,1955.0,0.0
0.0,1.0,1.0,0.0,0.6,1969.0,0.0
0.0,1.0,0.0,0.0,0.0,1961.75,0.0
0.0,1.0,0.0,0.0,0.0,1966.0,1.0
0.0,0.0,0.0,0.0,0.0,1972.3695652173913,0.0
0.0,-0.011237276165926293,0.0,0.0,0.0,1979.6406553178203,0.0
0.0,1.0,0.0,0.0,0.0,1964.0,0.0
0.0,0.0,0.0,0.0,0.0,1982.0,0.0
0.0,1.0,0.0,0.0,1.0,1986.0,0.0
0.0,0.0,0.0,0.0,1.0,1972.0,0.0
0.0,0.0,0.0,0.0,0.0,1975.0,0.0
0.0,0.0,0.0,0.0,0.0,1979.25,0.0
0.0,1.0,0.0,0.0,1.0,1972.2,0.0
0.0,1.0,0.0,0.0,1.0,1957.0,0.0
0.0,0.0,0.0,0.0,0.0,1958.0,0.0
0.0,1.0,1.0,0.0,0.764,1982.0,0.0
0.0,1.0,0.6666666666666666,0.0,0.0,1987.0,0.0
0.0,1.0,1.0,0.0,0.0,1985.0,1.0
0.0,1.0,1.0,0.0,0.0,1969.0,1.0
0.0,0.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,0.0,0.0,1.0,1962.0,1.0
0.0,1.0,0.0,0.0,1.0,1985.0,1.0
0.0,0.0,0.0,0.0,0.0,1966.0,0.0
0.0,1.0,0.0,0.0,0.0,1965.0,0.0
0.0,0.0,0.0,0.0,0.0,1957.0,0.0
0.0,1.0,0.0,0.0,1.0,1965.0,0.0
0.0,1.0,1.0,0.0,0.0,1971.361111111111,0.0
0.0,0.0,0.0,0.0,0.0,1965.0,0.0
0.0,0.4636567130693085,0.0,-0.0034383782642346504,1.0,1976.0790583921216,1.0
0.0,0.0,0.0,0.03043467483026052,0.0,1976.0,0.2638496718009781
0.0,1.0,0.0,0.0,0.0,1973.0,0.0
0.0,0.0,-0.0973750539812364,0.0,1.0,1976.8093343732373,0.0
0.0,0.0,0.0,0.0,1.0,1984.0,1.0
0.0,0.2,0.0,0.0,0.2,1953.0,0.4
0.0,1.0,0.0,0.0,0.6158333333333332,1987.0,1.0
0.0,1.0,0.0,0.0,0.0,1960.0,0.0
0.1136013901867402,0.0,0.0,0.0,0.0,1975.34392355108,0.0
0.0,0.0,0.0,0.0,0.0,1985.0,0.0
0.0,0.0,0.0,0.0,0.0,1983.0,0.0
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.0,1981.0,0.0
0.0,0.0,0.0,0.0,0.0,1988.0,0.0
0.0,0.0,0.0,0.0,0.0,1960.0,0.0
0.0,0.0,0.0,0.0,1.0,1960.0,0.0
0.0,1.0,0.0,0.0,1.0,1967.0,0.0
0.0,0.0,0.0,0.0,0.0,1988.0,0.0
0.0,1.0,0.0,0.0,0.0,1959.0,0.0
0.0,1.0,0.5,0.0,0.0,1969.0,1.0
0.0,1.0,1.0,0.0,0.0,1957.0,0.0
0.0,0.8,1.0,1.0,0.0,1957.0,0.2
0.0,1.0,0.0,0.0,0.0,1980.0,0.0
0.0,0.0,0.0,0.0,1.0,1981.0,0.0
0.0,0.0,0.0,0.0,0.0,1968.0,0.0
0.0,0.0,0.0,0.0,0.0,1966.0,0.0
0.0,0.742737012987013,0.0,0.0,1.0,1988.0,0.0
0.0,1.0,0.0,0.0,0.0,1968.0,1.0
1.0,0.0,0.0,1.0,0.0,1974.0,0.0
0.0,1.0,0.0,0.0,0.0,1986.0,0.0
0.0,1.0,0.0,0.0,0.0,1966.0,0.0
0.7856045540746638,0.0,0.0,0.0,0.0,1962.7776944210534,0.0
0.0,0.0,0.0,0.0,0.0,1985.0,0.0
0.0,1.0,1.0,0.0,1.0,1965.0,0.0
0.0,0.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.0,1979.0,0.0
0.0,1.0,0.0,0.0,0.0,1957.0,1.0
0.0,0.25,0.25,0.0,0.0,1980.0,0.25
0.0,0.6,0.0,0.2,1.0,1977.0,0.0
0.0,0.25,0.0,0.25,0.0,1983.0,1.0
0.0,1.0,0.0,0.0,0.0,1960.0,0.0
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,1.0,1984.0,0.0
0.0,0.0,0.0,0.0,1.0,1972.0,0.0
0.0,1.0,0.0,0.0,0.0,1959.0,0.0
0.0,1.0,0.0,0.0,0.0,1957.0,0.0
7.0,0.8946138638015493,0.0,-0.0959247728966215,1.0,1981.0,0.0
1.0,0.0,0.0,0.0,0.0,1987.0,1.0
0.22,0.0,0.0,0.0,0.7316666666666666,1979.0,0.0
0.0,1.0,1.0,0.0,0.0,1979.0,0.0
0.0,1.0,0.0,0.0,0.0,1978.8911482967897,-0.054276984874979985
0.0,1.0,0.0,0.0,1.0,1988.0,0.5
0.0,1.0,0.0,0.0,0.0,1968.0,1.0
0.0,0.0,0.0,0.0,0.0,1979.0,0.0
0.0,0.0,0.0,0.0,1.0,1984.0,0.0
3.0,1.0,0.0,0.0,0.3784397660802137,1968.0,-0.12973840417562732
0.21,1.0,0.5335555555555556,0.0,0.0,1980.0,0.0
0.0,0.0,0.0,0.0,1.0,1956.0,0.0
0.0,0.0,0.0,0.0,0.0,1971.0,0.0
0.011299476749065951,1.0,1.0,0.0,0.0,1968.0628496585348,0.0
0.0,0.0,0.0,0.0,0.0,1977.0,0.0
0.0,1.0,0.0,0.0,0.0,1972.0,0.0
0.0,1.0,0.0,0.0,0.0,1982.0,1.0
