Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.0,1.0,0.25,0.25,0.0,1957.0,1.0
0.0,0.0,0.0,0.0,0.25,1988.0,1.0
0.0,1.0,0.25,0.0,0.0,1958.0,0.25
1.75,0.25,0.0,0.0,0.0,1961.75,0.0
1.75,1.0,0.0,0.0,0.0,1978.0,0.25
0.0,1.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,1.0,0.0,0.0,1961.75,0.0
0.0,1.0,0.0,0.0,1.0,1976.0,0.0
0.0,0.25,0.0,0.25,1.0,1985.0,0.25
1.75,1.0,0.0,0.0,0.25,1974.0,0.0
0.0,1.0,0.0,0.0,1.0,1961.75,0.0
1.75,0.0,0.0,0.0,0.0,1986.0,1.0
0.0,1.0,0.0,0.0,0.0,1982.0,0.0
1.75,0.0,0.0,0.0,0.25,1979.0,0.0
0.0,0.0,0.0,0.0,0.25,1965.0,0.0
0.0,1.0,0.0,0.25,0.25,1982.0,0.0
1.75,0.25,0.0,0.0,0.0,1978.0,0.25
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.0,1961.75,0.0
1.75,1.0,0.0,0.0,0.0,1963.0,0.25
0.0,1.0,0.0,0.0,0.0,1957.0,0.0
1.0,0.0,0.0,0.0,0.0,1961.75,0.0
0.0,1.0,1.0,0.25,0.25,1979.0,0.0
0.0,1.0,0.0,0.0,1.0,1973.0,0.0
0.0,0.25,0.0,0.0,0.0,1961.75,0.25
0.0,1.0,0.25,0.0,0.0,1969.0,1.0
0.0,1.0,1.0,0.0,1.0,1982.0,0.0
0.0,0.0,0.0,0.0,0.0,1961.0,1.0
0.0,1.0,0.0,0.0,1.0,1961.75,0.0
0.0,1.0,0.0,0.0,1.0,1974.0,0.0
1.75,1.0,1.0,0.25,0.0,1964.0,1.0
0.0,0.25,0.0,0.0,0.25,1986.0,0.0
0.0,1.0,0.25,0.0,0.0,1982.0,1.0
1.75,0.0,0.0,0.25,0.0,1956.0,0.0
0.0,0.0,0.0,0.0,0.0,1980.0,1.0
0.0,0.25,0.0,0.0,0.0,1961.75,1.0
1.75,1.0,0.0,0.0,1.0,1961.75,0.25
0.0,1.0,0.0,0.0,0.0,1964.0,0.0
0.0,0.0,0.0,0.0,0.0,1957.0,0.0
0.0,1.0,0.0,0.25,0.0,1971.0,0.0
0.0,1.0,0.0,0.0,1.0,1955.0,0.0
0.0,1.0,1.0,0.25,0.25,1969.0,0.0
