parents,has_nurs,form,children,housing,finance,social,health
pretentious,less_proper,,2,convenient,inconv,problematic,priority
,critical,completed,,,convenient,problematic,recommended
great_pret,very_crit,foster,more,critical,,,not_recom
usual,very_crit,incomplete,more,critical,inconv,,
usual,improper,completed,more,convenient,convenient,problematic,priority
pretentious,less_proper,incomplete,more,critical,convenient,slightly_prob,
usual,proper,,2,,,,priority
,less_proper,foster,,convenient,,slightly_prob,
great_pret,,completed,3,,convenient,,recommended
great_pret,,completed,more,,inconv,problematic,
pretentious,,complete,1,less_conv,inconv,slightly_prob,
usual,,,2,,,,not_recom
usual,critical,foster,more,less_conv,convenient,problematic,
great_pret,very_crit,foster,,,inconv,slightly_prob,priority
great_pret,improper,foster,,convenient,,slightly_prob,recommended
great_pret,critical,,,,convenient,slightly_prob,priority
great_pret,,complete,1,convenient,convenient,slightly_prob,recommended
usual,improper,complete,more,,inconv,problematic,priority
usual,improper,,,,,problematic,recommended
pretentious,improper,complete,3,convenient,convenient,problematic,priority
usual,improper,completed,3,,,slightly_prob,
great_pret,less_proper,foster,3,convenient,inconv,slightly_prob,priority
pretentious,very_crit,incomplete,1,critical,convenient,nonprob,not_recom
,,complete,more,less_conv,inconv,slightly_prob,not_recom
great_pret,proper,completed,,critical,inconv,problematic,
usual,,complete,3,less_conv,inconv,nonprob,
great_pret,proper,,3,critical,convenient,nonprob,recommended
usual,proper,incomplete,2,critical,convenient,,not_recom
great_pret,improper,,1,less_conv,inconv,slightly_prob,recommended
usual,less_proper,,more,less_conv,inconv,slightly_prob,priority
,very_crit,complete,1,,inconv,slightly_prob,priority
great_pret,improper,,2,less_conv,inconv,,
,,incomplete,2,critical,,problematic,recommended
pretentious,proper,incomplete,2,,inconv,slightly_prob,
,,incomplete,1,convenient,inconv,problematic,recommended
usual,proper,complete,more,convenient,convenient,problematic,
usual,very_crit,complete,more,critical,,,
pretentious,less_proper,foster,1,,,nonprob,
pretentious,less_proper,,2,convenient,,,recommended
,less_proper,,3,critical,,slightly_prob,not_recom
pretentious,critical,,1,less_conv,inconv,slightly_prob,priority
,less_proper,incomplete,1,critical,convenient,,priority
,very_crit,complete,,critical,inconv,,
usual,proper,foster,more,less_conv,inconv,problematic,priority
great_pret,less_proper,incomplete,,critical,convenient,problematic,not_recom
great_pret,less_proper,,more,,inconv,,not_recom
pretentious,proper,complete,3,critical,inconv,problematic,priority
pretentious,very_crit,complete,,convenient,convenient,nonprob,priority
great_pret,,complete,3,critical,convenient,problematic,not_recom
great_pret,improper,complete,1,convenient,,,priority
usual,critical,completed,2,critical,convenient,problematic,recommended
great_pret,less_proper,,1,less_conv,convenient,slightly_prob,recommended
great_pret,very_crit,,more,critical,convenient,problematic,recommended
usual,improper,foster,1,convenient,inconv,problematic,not_recom
pretentious,very_crit,,more,convenient,inconv,problematic,recommended
usual,,foster,,less_conv,inconv,,
great_pret,critical,incomplete,2,critical,convenient,slightly_prob,not_recom
great_pret,less_proper,completed,1,critical,,,not_recom
great_pret,less_proper,,2,less_conv,inconv,nonprob,priority
,critical,,,less_conv,inconv,slightly_prob,not_recom
pretentious,less_proper,complete,2,,convenient,slightly_prob,priority
great_pret,less_proper,incomplete,2,,,slightly_prob,not_recom
,proper,,1,,convenient,nonprob,not_recom
pretentious,less_proper,completed,more,critical,inconv,,not_recom
