parents,has_nurs,form,children,housing,finance,social,health
pretentious,less_proper,,2,convenient,inconv,problematic,priority
great_pret,critical,completed,,critical,convenient,problematic,recommended
great_pret,very_crit,foster,more,critical,convenient,problematic,not_recom
usual,very_crit,incomplete,more,critical,inconv,problematic,not_recom
usual,improper,completed,more,convenient,convenient,problematic,priority
pretentious,less_proper,incomplete,more,critical,convenient,slightly_prob,not_recom
usual,proper,,2,critical,inconv,problematic,priority
great_pret,less_proper,foster,,convenient,convenient,slightly_prob,recommended
great_pret,,completed,3,critical,convenient,problematic,recommended
great_pret,,completed,more,less_conv,inconv,problematic,recommended
pretentious,,complete,1,less_conv,inconv,slightly_prob,recommended
usual,,,2,critical,inconv,problematic,not_recom
usual,critical,foster,more,less_conv,convenient,problematic,recommended
great_pret,very_crit,foster,,critical,inconv,slightly_prob,priority
great_pret,improper,foster,,convenient,convenient,slightly_prob,recommended
great_pret,critical,,,less_conv,convenient,slightly_prob,priority
great_pret,,complete,1,convenient,convenient,slightly_prob,recommended
usual,improper,complete,more,critical,inconv,problematic,priority
usual,improper,,,critical,inconv,problematic,recommended
pretentious,improper,complete,3,convenient,convenient,problematic,priority
usual,improper,completed,3,less_conv,inconv,slightly_prob,recommended
great_pret,less_proper,foster,3,convenient,inconv,slightly_prob,priority
pretentious,very_crit,incomplete,1,critical,convenient,nonprob,not_recom
pretentious,,complete,more,less_conv,inconv,slightly_prob,not_recom
great_pret,proper,completed,,critical,inconv,problematic,not_recom
usual,,complete,3,less_conv,inconv,nonprob,recommended
great_pret,proper,,3,critical,convenient,nonprob,recommended
usual,proper,incomplete,2,critical,convenient,problematic,not_recom
great_pret,improper,,1,less_conv,inconv,slightly_prob,recommended
usual,less_proper,,more,less_conv,inconv,slightly_prob,priority
pretentious,very_crit,complete,1,less_conv,inconv,slightly_prob,priority
great_pret,improper,,2,less_conv,inconv,problematic,priority
pretentious,,incomplete,2,critical,convenient,problematic,recommended
pretentious,proper,incomplete,2,less_conv,inconv,slightly_prob,not_recom
pretentious,,incomplete,1,convenient,inconv,problematic,recommended
usual,proper,complete,more,convenient,convenient,problematic,recommended
usual,very_crit,complete,more,critical,convenient,problematic,not_recom
pretentious,less_proper,foster,1,less_conv,inconv,nonprob,recommended
pretentious,less_proper,,2,convenient,inconv,problematic,recommended
pretentious,less_proper,,3,critical,convenient,slightly_prob,not_recom
pretentious,critical,,1,less_conv,inconv,slightly_prob,priority
great_pret,less_proper,incomplete,1,critical,convenient,problematic,priority
pretentious,very_crit,complete,,critical,inconv,problematic,recommended
usual,proper,foster,more,less_conv,inconv,problematic,priority
great_pret,less_proper,incomplete,,critical,convenient,problematic,not_recom
great_pret,less_proper,,more,critical,inconv,problematic,not_recom
pretentious,proper,complete,3,critical,inconv,problematic,priority
pretentious,very_crit,complete,,convenient,convenient,nonprob,priority
