parents,has_nurs,form,children,housing,finance,social,health
pretentious,less_proper,missing,2,convenient,inconv,problematic,priority
missing,critical,completed,missing,missing,convenient,problematic,recommended
great_pret,very_crit,foster,more,critical,missing,missing,not_recom
usual,very_crit,incomplete,more,critical,inconv,missing,missing
usual,improper,completed,more,convenient,convenient,problematic,priority
pretentious,less_proper,incomplete,more,critical,convenient,slightly_prob,missing
usual,proper,missing,2,missing,missing,missing,priority
missing,less_proper,foster,missing,convenient,missing,slightly_prob,missing
great_pret,missing,completed,3,missing,convenient,missing,recommended
great_pret,missing,completed,more,missing,inconv,problematic,missing
pretentious,missing,complete,1,less_conv,inconv,slightly_prob,missing
usual,missing,missing,2,missing,missing,missing,not_recom
usual,critical,foster,more,less_conv,convenient,problematic,missing
great_pret,very_crit,foster,missing,missing,inconv,slightly_prob,priority
great_pret,improper,foster,missing,convenient,missing,slightly_prob,recommended
great_pret,critical,missing,missing,missing,convenient,slightly_prob,priority
great_pret,missing,complete,1,convenient,convenient,slightly_prob,recommended
usual,improper,complete,more,missing,inconv,problematic,priority
usual,improper,missing,missing,missing,missing,problematic,recommended
pretentious,improper,complete,3,convenient,convenient,problematic,priority
usual,improper,completed,3,missing,missing,slightly_prob,missing
great_pret,less_proper,foster,3,convenient,inconv,slightly_prob,priority
pretentious,very_crit,incomplete,1,critical,convenient,nonprob,not_recom
missing,missing,complete,more,less_conv,inconv,slightly_prob,not_recom
great_pret,proper,completed,missing,critical,inconv,problematic,missing
usual,missing,complete,3,less_conv,inconv,nonprob,missing
great_pret,proper,missing,3,critical,convenient,nonprob,recommended
usual,proper,incomplete,2,critical,convenient,missing,not_recom
great_pret,improper,missing,1,less_conv,inconv,slightly_prob,recommended
usual,less_proper,missing,more,less_conv,inconv,slightly_prob,priority
missing,very_crit,complete,1,missing,inconv,slightly_prob,priority
great_pret,improper,missing,2,less_conv,inconv,missing,missing
missing,missing,incomplete,2,critical,missing,problematic,recommended
pretentious,proper,incomplete,2,missing,inconv,slightly_prob,missing
missing,missing,incomplete,1,convenient,inconv,problematic,recommended
usual,proper,complete,more,convenient,convenient,problematic,missing
usual,very_crit,complete,more,critical,missing,missing,missing
pretentious,less_proper,foster,1,missing,missing,nonprob,missing
pretentious,less_proper,missing,2,convenient,missing,missing,recommended
missing,less_proper,missing,3,critical,missing,slightly_prob,not_recom
pretentious,critical,missing,1,less_conv,inconv,slightly_prob,priority
missing,less_proper,incomplete,1,critical,convenient,missing,priority
missing,very_crit,complete,missing,critical,inconv,missing,missing
usual,proper,foster,more,less_conv,inconv,problematic,priority
