parents,has_nurs,form,children,housing,finance,social,health
great_pret,very_crit,foster,1,less_conv,convenient,problematic,
great_pret,proper,foster,2,less_conv,convenient,nonprob,recommended
usual,proper,completed,more,less_conv,convenient,problematic,
usual,improper,completed,more,critical,inconv,nonprob,
usual,proper,complete,3,less_conv,inconv,nonprob,
great_pret,critical,incomplete,3,critical,convenient,slightly_prob,
usual,very_crit,complete,more,convenient,inconv,nonprob,
usual,improper,incomplete,2,convenient,convenient,nonprob,
great_pret,improper,completed,1,critical,inconv,slightly_prob,
pretentious,less_proper,foster,more,critical,inconv,slightly_prob,
usual,very_crit,foster,1,less_conv,inconv,slightly_prob,
great_pret,very_crit,complete,more,critical,convenient,nonprob,priority
great_pret,less_proper,complete,more,critical,inconv,slightly_prob,
usual,critical,incomplete,3,less_conv,inconv,slightly_prob,
great_pret,proper,foster,2,convenient,inconv,slightly_prob,
pretentious,critical,incomplete,more,critical,convenient,nonprob,
great_pret,very_crit,foster,3,critical,convenient,nonprob,
usual,very_crit,foster,3,critical,inconv,nonprob,
usual,less_proper,completed,2,convenient,convenient,problematic,
great_pret,proper,complete,more,critical,inconv,nonprob,
usual,critical,complete,1,critical,inconv,problematic,
pretentious,critical,complete,3,critical,inconv,slightly_prob,
great_pret,critical,foster,2,convenient,convenient,problematic,
usual,very_crit,foster,1,critical,convenient,nonprob,
pretentious,proper,incomplete,2,critical,inconv,nonprob,
pretentious,less_proper,complete,3,critical,inconv,problematic,
usual,less_proper,completed,2,less_conv,inconv,problematic,
great_pret,very_crit,complete,1,less_conv,convenient,nonprob,
usual,very_crit,complete,2,critical,convenient,nonprob,
usual,proper,complete,2,critical,inconv,slightly_prob,
pretentious,very_crit,foster,1,less_conv,convenient,problematic,
pretentious,improper,completed,1,critical,inconv,nonprob,
great_pret,proper,foster,2,critical,convenient,problematic,
usual,very_crit,foster,more,less_conv,convenient,slightly_prob,
usual,very_crit,completed,2,critical,convenient,slightly_prob,
pretentious,proper,completed,more,convenient,convenient,nonprob,
great_pret,improper,incomplete,3,convenient,convenient,nonprob,
great_pret,improper,foster,1,critical,convenient,slightly_prob,
usual,improper,foster,3,less_conv,convenient,nonprob,recommended
usual,very_crit,completed,3,convenient,convenient,slightly_prob,
pretentious,very_crit,completed,2,critical,inconv,problematic,
great_pret,critical,completed,more,convenient,inconv,slightly_prob,
pretentious,proper,incomplete,1,convenient,inconv,problematic,
pretentious,improper,foster,1,convenient,convenient,slightly_prob,
pretentious,critical,complete,2,critical,convenient,nonprob,
great_pret,very_crit,foster,more,convenient,inconv,problematic,
usual,less_proper,completed,1,convenient,inconv,problematic,
great_pret,less_proper,completed,2,critical,convenient,nonprob,
usual,critical,incomplete,1,less_conv,inconv,nonprob,
pretentious,critical,foster,3,critical,inconv,slightly_prob,
great_pret,improper,complete,2,less_conv,inconv,nonprob,
usual,very_crit,foster,3,less_conv,convenient,problematic,recommended
great_pret,critical,foster,3,convenient,inconv,problematic,
pretentious,improper,foster,2,convenient,inconv,problematic,
great_pret,very_crit,foster,1,critical,convenient,slightly_prob,
pretentious,very_crit,completed,1,critical,inconv,slightly_prob,
usual,proper,complete,1,less_conv,inconv,nonprob,
pretentious,proper,incomplete,2,less_conv,convenient,slightly_prob,
pretentious,critical,complete,1,convenient,convenient,slightly_prob,
pretentious,less_proper,complete,3,critical,convenient,nonprob,
pretentious,proper,incomplete,more,less_conv,inconv,nonprob,
pretentious,critical,incomplete,3,convenient,inconv,problematic,
pretentious,less_proper,completed,2,less_conv,convenient,slightly_prob,
pretentious,less_proper,complete,2,critical,inconv,problematic,
pretentious,proper,complete,more,convenient,convenient,slightly_prob,
usual,critical,completed,3,critical,convenient,slightly_prob,
great_pret,critical,complete,2,convenient,inconv,nonprob,
pretentious,critical,foster,3,less_conv,convenient,nonprob,
usual,proper,incomplete,2,critical,convenient,problematic,
usual,very_crit,incomplete,1,convenient,convenient,slightly_prob,
pretentious,very_crit,complete,more,less_conv,inconv,nonprob,
usual,critical,incomplete,1,critical,convenient,slightly_prob,
pretentious,improper,incomplete,2,less_conv,inconv,nonprob,
usual,proper,foster,more,convenient,convenient,problematic,
