parents,has_nurs,form,children,housing,finance,social,health
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
