theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2
1.537614,-0.059370000000000006,1.201468,1.427548,1.0902180000000001,1.530334,-0.567986,-0.140463
-0.20742399999999997,0.9847670000000001,1.063136,-1.258238,-1.7778080000000003,0.697755,-0.326937,-0.024999
-0.44865200000000005,-0.670643,0.539996,1.5403040000000001,-0.09209099999999999,1.658839,0.5154850000000001,-0.236198
1.188242,1.563711,1.244987,1.4978069999999999,-1.8266470000000001,1.699286,-0.300588,0.022652000000000002
1.1150930000000001,1.141794,1.2857450000000001,0.389825,-0.32050300000000004,0.5105390000000001,0.097198,0.41244200000000003
-1.09969,1.377836,-1.279533,-1.537403,-0.154722,0.832828,-0.11046500000000001,-0.181488
-0.12082899999999999,1.204484,-0.654551,-0.441483,-0.8126899999999999,-0.498546,0.46228100000000005,-0.440535
0.84091,-0.222823,-1.4588299999999998,0.954684,0.624153,-1.5235379999999998,-0.276099,-0.004282
0.506034,-0.012869,-1.408375,0.719148,0.391425,0.184612,0.046232,-0.58614
0.15419000000000002,1.550283,1.755983,-1.822316,-0.9122459999999999,0.103702,0.388885,-0.41213900000000003
1.384354,-1.05134,-0.303622,1.487981,-1.092646,-0.858988,0.558275,0.122619
-1.81345,1.080249,-0.14696700000000001,-0.78866,-0.007146,0.527217,0.522645,0.087627
1.109071,1.712904,1.732694,-1.172016,-0.290027,0.01849,0.518491,-0.12728399999999998
0.268833,-1.849321,1.3830850000000001,0.243711,-1.85015,-1.24217,0.194303,0.458851
-0.104899,1.278512,-0.538146,-0.5992609999999999,1.418067,0.067853,-0.598216,0.5837319999999999
-1.788758,1.38717,1.035941,1.6040020000000001,-0.170335,-1.462443,0.170202,-0.219358
-0.943742,-1.463098,0.8421290000000001,1.417497,1.797965,-1.202999,-0.246207,-0.402805
-0.781413,1.161937,0.530035,0.005658,0.8478559999999999,-0.350939,0.5347,-0.099872
1.422375,0.8422280000000001,-0.6967869999999999,-1.551812,-1.063325,1.840961,0.438108,0.073434
0.11664300000000001,0.07319400000000001,1.18038,1.377298,0.9881549999999999,1.470639,0.475576,-0.18859800000000002
-1.510521,-0.745708,1.8333220000000001,1.151286,-1.295453,-1.44048,0.069631,0.288004
1.2117950000000002,1.575905,-1.1592719999999999,-0.977741,0.153927,0.894015,-0.368444,-0.445679
-1.748847,1.122984,1.8124099999999999,0.285844,1.317785,-0.22071999999999997,-0.016233,-0.429463
0.7560979999999999,-0.630909,1.0759239999999999,-1.2121110000000002,0.649233,1.5295590000000001,0.0872,0.373087
-0.69163,-1.5971870000000001,1.615327,1.669773,0.647788,-0.13025799999999998,0.341391,0.563158
1.220679,0.095012,-1.580451,0.154057,-0.692872,0.15973099999999998,0.132942,-0.042673
-1.619424,1.095386,1.67851,0.471628,-1.476102,0.9380719999999999,0.130627,-0.555509
0.584415,1.6490169999999997,-1.363415,-1.3967209999999999,0.548146,-0.9783729999999999,0.264333,0.24256599999999998
-0.076375,-1.8595389999999998,-0.701287,-1.7940939999999999,-1.5874110000000001,0.052597000000000005,0.585757,0.016587
1.721827,0.901819,1.833694,-0.135189,1.1360270000000001,-1.386166,0.241903,0.071243
-0.300431,-1.4252120000000001,0.472213,0.8246950000000001,-1.3093,-0.43296899999999994,-0.312449,-0.130498
-1.617987,-1.141165,1.7434060000000002,1.667431,-1.001682,1.147117,0.0833,-0.380027
1.4810379999999999,-0.917617,0.319235,0.807349,1.202677,-0.864733,-0.175539,0.511013
1.310151,-0.34187399999999996,-0.536317,-0.027469999999999998,-1.76258,0.28429099999999996,0.511372,0.23289400000000002
0.237331,0.24960900000000003,-0.730398,-0.9737469999999999,-0.576109,-1.535313,0.331539,0.58062
-1.354098,0.6260359999999999,-0.029075,1.4172420000000001,1.294885,-0.55695,0.011575,0.141149
1.057517,-1.438801,-1.711929,-0.42497700000000005,1.400479,-1.48173,0.18974100000000002,0.5797100000000001
1.8263459999999998,0.774311,0.10716099999999999,-0.954335,1.468553,0.355023,-0.28415,0.292118
1.134968,-0.350909,-1.5873709999999999,0.71306,-0.145072,0.900858,0.24052800000000002,-0.24758200000000002
-1.075292,0.5278520000000001,1.011671,0.8585719999999999,-1.1986709999999998,0.33465,-0.079831,-0.126307
0.896242,-1.430353,0.785107,0.608267,-0.861187,-1.284951,0.523098,0.502738
0.16276500000000002,-1.3724120000000002,-1.812686,-1.158412,-1.605621,-0.64874,-0.25053600000000004,0.037656999999999996
-0.35536999999999996,-1.1677739999999999,-0.6132569999999999,-0.070374,0.981725,-1.053675,-0.584282,-0.42174799999999996
-0.034908,1.406603,-0.342038,0.477529,-0.31522100000000003,-1.192387,0.129525,0.126876
1.343805,-0.207666,0.68704,-0.16444,-0.399223,0.703595,-0.2848,0.165947
1.153202,0.760012,1.068478,1.827162,-0.583605,0.663578,0.43013100000000004,0.417299
0.059619000000000005,-0.782594,0.154995,-0.006022,0.577911,1.651285,-0.296717,0.272327
-1.722866,0.47651800000000005,1.554518,1.2980639999999999,0.086862,0.935158,0.139476,0.565367
0.631167,-0.509202,-0.46308999999999995,1.7102099999999998,1.6938669999999998,-1.550733,-0.5648890000000001,0.317227
-1.7493779999999999,-0.265469,1.841132,0.47990900000000003,-1.785496,-0.333354,-0.189728,-0.35277
-0.270832,-1.597676,0.945875,-0.396221,-1.623306,-0.047719,0.311309,0.16935799999999998
1.5820020000000001,-0.48271499999999995,-0.148774,-0.990049,0.630289,-0.18227000000000002,0.48556400000000005,-0.32965700000000003
1.603225,1.8503740000000002,1.241634,1.6896919999999997,-0.092132,0.974359,-0.138691,-0.581641
1.254523,-0.348783,0.217948,-1.300229,1.225499,-1.8410790000000001,0.13075499999999998,0.40363899999999997
-0.943142,1.0853620000000002,-0.9219639999999999,-1.118258,-1.55063,-0.047208,-0.553469,0.24786
-0.6755140000000001,1.605049,-1.425756,-1.1319190000000001,-1.186976,0.864325,0.39542,0.21749200000000002
-0.9727979999999999,0.2865,1.033993,-0.963517,1.700162,-1.3003770000000001,-0.403675,0.24103200000000002
-0.119775,0.082248,-1.2228649999999999,0.861906,-1.72213,1.5343950000000002,-0.440213,0.539578
-1.706648,1.6150129999999998,0.15589,-0.037258,-0.38629,-0.592187,-0.103055,-0.44147299999999995
0.939958,-1.827218,-0.354085,1.5891520000000001,-0.9469540000000001,1.1023530000000001,-0.5952970000000001,0.43807700000000005
1.7950709999999999,-0.840823,1.6838080000000002,-0.9665219999999999,0.209236,-0.7048949999999999,0.527311,0.5185350000000001
-1.652786,-1.677527,0.9701299999999999,0.106769,-0.014421999999999999,-1.1245040000000002,-0.312419,0.378238
-1.556216,0.324175,0.8808540000000001,0.065968,0.377834,1.728633,-0.5027159999999999,0.058572000000000006
-0.195806,0.22369899999999998,1.109975,1.834856,0.558118,0.742093,0.47512600000000005,-0.5549189999999999
-0.522307,1.7056529999999999,0.50112,0.344306,-0.056428,1.628779,0.497985,-0.36346999999999996
-1.580315,-1.3293270000000001,-1.5072940000000001,0.708834,0.452611,-0.652055,0.015374,0.39676100000000003
1.637443,0.151882,0.443198,-0.513528,-1.529916,1.271992,-0.255081,0.454099
0.136447,1.166289,-1.71555,-0.9700559999999999,1.14193,-0.203215,0.032076,0.301479
-0.179238,-0.295569,1.119199,-1.472005,-1.8365580000000001,1.010924,-0.123341,-0.584133
0.563959,0.899165,-1.311218,1.253034,1.024195,0.230256,-0.569122,-0.037778
0.9406610000000001,-1.309868,1.336827,-0.613143,1.842712,0.643123,0.203514,0.465183
0.536305,-0.18575999999999998,-0.588318,0.6217560000000001,-0.341731,1.874011,-0.348912,0.237657
-1.682432,1.4777200000000001,-0.12599000000000002,1.181467,0.796384,1.6405349999999999,-0.207984,0.010856999999999999
1.842929,0.510023,-0.827732,-0.7129770000000001,1.541059,1.281575,-0.588271,-0.26560700000000004
-0.747537,1.2556,-1.09333,-1.0469469999999998,-1.867737,0.99592,0.005159,0.304114
-0.57004,-1.315165,-0.987233,-1.049273,0.518718,-1.7051009999999998,0.392169,-0.41156400000000004
-0.49364600000000003,0.868439,-1.246157,1.465087,-1.34815,-1.1961620000000002,0.33228,-0.170701
-0.043525,-0.15518800000000002,0.536079,-0.20635,0.198913,-0.778192,-0.398094,0.428807
0.22917800000000002,-1.055205,-1.172717,-0.752764,0.12373699999999999,-1.350745,0.13841099999999998,-0.530925
-1.8332689999999998,-0.266852,1.207755,1.535249,1.6524599999999998,-0.035039999999999995,-0.257417,-0.41097100000000003
1.429032,-0.35681599999999997,0.9154120000000001,0.32682,0.10431800000000001,0.26834600000000003,0.409144,0.483225
-0.5769850000000001,-1.1718540000000002,-1.328745,0.734671,1.151861,0.8269,0.577469,-0.08
1.243267,-1.034371,-1.614629,-1.252561,-0.612821,-0.279307,-0.24366999999999997,0.23626
0.670775,1.6742150000000002,-0.08945700000000001,0.684003,1.574992,-1.430577,0.24951500000000001,-0.40925300000000003
-0.600392,1.261717,-0.080302,-0.0033369999999999997,0.46826999999999996,-1.3559430000000001,-0.071325,0.04803
-1.5706579999999999,-1.1299709999999998,1.38494,1.2524959999999998,-0.483604,-0.006246,0.184416,-0.11332300000000001
-1.114468,1.831563,1.7593880000000002,-1.1452579999999999,0.8192889999999999,-1.688375,-0.126969,-0.374355
-1.682965,0.046751999999999995,1.614451,-1.7432,1.7840599999999998,-1.177346,0.194296,0.337999
0.382891,0.010812,0.767636,1.022842,0.114185,0.217556,-0.109705,0.580571
0.828318,-0.746371,-1.756419,-1.727716,-1.862452,-0.657143,0.39611999999999997,-0.013859
1.524458,1.256274,-1.0767930000000001,1.690432,1.039182,-0.464383,-0.370324,0.367051
-1.1917719999999998,-0.5764630000000001,0.061078999999999994,1.146955,1.310975,-1.568789,0.039733,0.590318
