theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2
0.9475600000000001,1.535064,-1.4530290000000001,0.423558,1.1419190000000001,-0.39003899999999997,0.155347,-0.290002
1.1163290000000001,-0.709627,1.293882,1.425173,-1.139669,0.502904,0.052445000000000006,-0.5621229999999999
-0.772767,-0.5567300000000001,-0.045104000000000005,-0.303119,-1.373903,-0.479746,0.23905,0.10596199999999999
1.732862,1.64775,-0.039656,0.774893,-1.413025,1.729672,0.25563400000000003,0.448013
-0.013092,-1.3776549999999999,0.542087,-1.017362,1.509665,1.436316,0.451138,-0.531058
-0.508604,-1.7109189999999999,1.47375,1.001003,-1.254646,-1.7268740000000002,0.31055,-0.587424
0.969527,1.277118,-1.354659,-1.259423,0.92689,0.9641930000000001,-0.529397,0.429928
-0.154513,0.567693,-0.42529799999999995,-0.233104,-0.842808,-1.510186,0.357518,0.39682199999999995
0.401644,-1.4847569999999999,-1.275065,-1.833789,-1.460544,-1.474317,0.251336,0.197615
-0.9373870000000001,-0.20633600000000002,0.421025,0.037877,-0.5084850000000001,0.28475100000000003,0.5704520000000001,-0.41530500000000004
1.582581,1.7199790000000001,0.004739,0.47493599999999997,1.349819,-0.908626,0.19905599999999998,-0.058021
0.087686,-0.290104,-1.290369,1.071619,1.8330520000000001,0.39617600000000003,0.278345,0.5424680000000001
-0.8669549999999999,-0.211558,-0.6349229999999999,1.464591,1.62358,0.887123,-0.037856,-0.253058
0.161267,-0.159851,1.325051,1.2712629999999998,-1.7463229999999998,-1.686191,-0.440234,0.185635
1.7586389999999998,1.336286,1.595861,-1.289152,-1.097185,-1.747718,0.399927,0.378233
-0.29132600000000003,0.795409,0.32703499999999996,-0.057786000000000004,1.433989,0.01563,-0.381398,0.251301
-1.59227,1.326602,0.9499209999999999,-0.24545300000000003,-1.045792,-1.295547,0.236473,0.009698
-1.169641,-1.8310830000000002,-1.230438,1.767575,0.725929,1.259275,0.11195,-0.052217999999999994
1.469592,-1.023757,-0.409448,-1.504609,0.595742,-0.254675,-0.46915,0.196598
-0.9083540000000001,1.439532,-1.07549,0.959393,0.611627,-0.933607,-0.245321,0.088989
-1.447538,-1.535827,-0.070904,-0.3923,0.188878,0.209525,0.126345,-0.5227310000000001
0.894784,0.454532,1.478353,-0.81311,-0.019615,-1.69268,-0.359026,-0.542481
-0.058464,1.335459,-1.0008350000000001,0.316273,0.030376999999999998,1.614932,-0.37916300000000003,-0.598966
-1.154492,0.17870999999999998,-1.038684,1.3031030000000001,1.8431680000000001,0.770131,0.474458,0.223476
-1.197698,1.608319,0.751976,1.719945,-0.569836,-1.662175,-0.35999200000000003,0.007572
-1.597204,1.3352680000000001,-0.42888100000000007,-0.127752,1.728111,0.972167,0.130442,-0.056911
0.9917,0.717363,0.54486,0.344929,-0.905028,0.780883,0.392177,-0.275301
0.19833199999999998,0.764123,-1.471618,0.896666,-1.839564,-0.504108,-0.49344,-0.048605
-1.2679280000000002,1.2438120000000001,0.593188,-1.7103240000000002,0.157589,-1.65392,-0.598223,0.46412
-0.621271,0.9527639999999999,-1.484952,-0.774158,-1.308923,-1.6387779999999998,0.010690999999999999,-0.323268
-0.090401,-0.09643600000000001,0.26008600000000004,-1.835141,-1.5780319999999999,-0.65186,-0.143459,-0.310361
-1.8249060000000001,0.794189,-1.318359,1.870934,-0.042957999999999996,1.836164,-0.026708,-0.080471
0.641509,-0.098401,1.165247,-0.38565900000000003,-1.295388,-0.348983,0.200352,0.123951
-1.327676,-0.14016900000000002,0.373765,1.190173,0.080464,-1.033435,-0.303295,0.12370999999999999
0.170934,0.22281700000000002,1.36828,0.21598,-0.445964,-0.72806,0.200918,0.021391
1.039311,1.70327,-1.8487040000000001,0.44367,-0.126583,-1.2520719999999999,0.022647,0.22863000000000003
0.11205599999999999,-1.622372,0.5609430000000001,-0.772036,0.43074799999999996,1.355964,0.180747,-0.591906
0.316103,0.932371,-1.160035,1.264815,-0.788898,-0.22645,0.529998,0.074813
1.846593,1.770916,0.32910500000000004,0.800963,-0.561654,0.14233099999999999,-0.5504220000000001,-0.14468499999999998
0.030345999999999998,1.091401,-1.21573,0.15088900000000002,-1.157354,1.0956629999999998,-0.382407,0.08619
1.7627509999999997,-1.183423,0.26052,1.689546,1.230747,-0.343357,0.294981,0.539169
-1.6567759999999998,-0.873876,0.333696,-1.205314,1.7831860000000002,-0.794089,-0.245969,0.004638000000000001
1.483131,0.337056,-1.278384,-1.072227,-0.737822,-1.341359,-0.046671,0.39710500000000004
-0.09600700000000001,-0.068194,-0.077692,-1.378788,0.348089,-0.570692,-0.305174,-0.262565
0.491045,0.663211,-1.042445,-1.592203,-1.333489,0.17294600000000002,0.034902999999999997,-0.183231
0.971722,0.48073599999999994,0.806036,1.759078,1.175711,-1.695401,-0.514147,-0.070131
1.663513,1.008091,1.012991,0.41974799999999995,1.2021629999999999,1.807348,-0.589741,0.227694
1.616919,-1.729742,1.784646,1.138882,1.357329,0.903064,0.04495,-0.527564
-1.682965,0.046751999999999995,1.614451,-1.7432,1.7840599999999998,-1.177346,0.194296,0.337999
-0.975266,0.28112600000000004,1.189308,0.6253479999999999,-0.290325,-1.223683,-0.501777,0.234513
-0.261712,0.892766,0.472988,-1.2384709999999999,-1.309888,0.990442,-0.499529,-0.381226
-0.411066,1.468473,-0.977115,-0.633067,-1.269951,1.163781,0.43626099999999995,0.244779
0.406244,0.42935,0.47684099999999996,-0.556732,-0.067999,-0.579543,0.342997,-0.047711
-0.405069,0.46925,0.033739,1.557501,-1.350998,-0.050488,-0.102383,0.043647000000000005
-0.14385699999999998,-1.294057,-0.6044350000000001,1.1730260000000001,-1.5795350000000001,0.46637399999999996,0.223744,-0.34123000000000003
-0.020501,-1.4920870000000002,-0.062286,1.197255,-1.529708,0.986175,-0.52958,-0.253809
0.009518,1.625191,1.578708,0.7177,-1.3371680000000001,-1.33375,-0.142905,0.59734
-1.3989719999999999,0.41772600000000004,1.1397760000000001,1.301428,0.068583,-0.918692,0.34828600000000004,0.040322000000000004
-1.7730810000000001,0.9839049999999999,1.66278,-0.009452,-0.527586,-0.30728099999999997,0.099858,-0.482097
0.232519,-1.449699,-0.15516300000000002,0.945752,1.309865,-1.384831,0.180792,0.16961500000000002
0.7279939999999999,-1.74468,-0.46148500000000003,-1.465157,0.163801,0.976173,-0.036166000000000004,0.560766
-0.47608999999999996,1.871358,-0.449838,-1.747098,0.36951100000000003,1.33543,-0.46922700000000006,0.10348099999999999
