theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2
0.9475600000000001,-0.21335067000000016,0.0558279,0.423558,1.1419190000000001,-0.39003899999999997,0.155347,-0.290002
1.1163290000000001,-0.45613340333333297,-0.15279683999999996,1.425173,-1.139669,0.502904,0.052445000000000006,-0.5621229999999999
-0.772767,-0.08774091000000003,0.014268969999999962,-0.303119,-1.373903,-0.479746,0.23905,0.10596199999999999
1.732862,0.47160531999999994,-0.33528586000000005,0.774893,-1.413025,1.729672,0.25563400000000003,0.448013
-0.013092,-0.17983784,-0.15337606999999995,-1.017362,1.509665,1.436316,0.451138,-0.531058
-0.508604,0.12977704000000004,0.17422545999999994,1.001003,-1.254646,-1.7268740000000002,0.31055,-0.587424
0.969527,0.52695096,-0.28941683000000007,-1.259423,0.92689,0.9641930000000001,-0.529397,0.429928
-0.154513,0.5652409799999996,-0.42529799999999995,-0.233104,-0.842808,-1.510186,0.357518,0.39682199999999995
0.401644,-0.014174229999999994,0.3753313100000002,-1.833789,-1.460544,-1.474317,0.251336,0.197615
-0.9373870000000001,0.13661757000000002,-0.08727858999999999,0.037877,-0.5084850000000001,0.28475100000000003,0.5704520000000001,-0.41530500000000004
1.582581,-0.17913985999999998,0.004739,0.47493599999999997,1.349819,-0.908626,0.19905599999999998,-0.058021
0.087686,0.6506830000000001,-0.35856207499999976,1.071619,1.8330520000000001,0.39617600000000003,0.278345,0.5424680000000001
-0.8669549999999999,-0.6332510450000001,-0.11675042000000001,1.464591,1.62358,0.887123,-0.037856,-0.253058
0.161267,0.07033082999999994,1.325051,1.2712629999999998,-1.7463229999999998,-1.686191,-0.440234,0.185635
1.7586389999999998,0.5303627600000003,1.595861,-1.289152,-1.097185,-1.747718,0.399927,0.378233
-0.29132600000000003,-0.6579447199999996,0.32444228999999986,-0.057786000000000004,1.433989,0.01563,-0.381398,0.251301
-1.59227,-0.20049045000000007,0.9499209999999999,-0.24545300000000003,-1.045792,-1.295547,0.236473,0.009698
-1.169641,-0.5148491499999998,0.10266003000000001,1.767575,0.725929,1.259275,0.11195,-0.052217999999999994
1.469592,0.9730154700000003,-0.409448,-1.504609,0.595742,-0.254675,-0.46915,0.196598
-0.9083540000000001,0.26655256,-0.2633090900000001,0.959393,0.611627,-0.933607,-0.245321,0.088989
-1.447538,-0.17063455000000016,-0.070904,-0.3923,0.188878,0.209525,0.126345,-0.5227310000000001
0.894784,0.454532,0.29266125000000015,-0.81311,-0.019615,-1.69268,-0.359026,-0.542481
-0.058464,1.335459,-0.09370136000000001,0.316273,0.030376999999999998,1.614932,-0.37916300000000003,-0.598966
-1.154492,-0.32363348999999997,-1.038684,1.3031030000000001,1.8431680000000001,0.770131,0.474458,0.223476
-1.197698,-0.4363130719999998,0.011350029999999971,1.719945,-0.569836,-1.662175,-0.35999200000000003,0.007572
-1.597204,-0.22477079500000013,0.19612671999999992,-0.127752,1.728111,0.972167,0.130442,-0.056911
