Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.0,1.0,0.75,0.75,0.0,1957.0,1.0
0.0,0.0,0.0,0.0,0.75,1988.0,1.0
0.0,1.0,0.75,0.0,0.0,1958.0,0.75
5.25,0.75,0.0,0.0,0.0,1979.25,0.0
5.25,1.0,0.0,0.0,0.0,1978.0,0.75
0.0,1.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,1.0,0.0,0.0,1979.25,0.0
0.0,1.0,0.0,0.0,1.0,1976.0,0.0
0.0,0.75,0.0,0.75,1.0,1985.0,0.75
5.25,1.0,0.0,0.0,0.75,1974.0,0.0
0.0,1.0,0.0,0.0,1.0,1979.25,0.0
5.25,0.0,0.0,0.0,0.0,1986.0,1.0
0.0,1.0,0.0,0.0,0.0,1982.0,0.0
5.25,0.0,0.0,0.0,0.75,1979.0,0.0
0.0,0.0,0.0,0.0,0.75,1965.0,0.0
0.0,1.0,0.0,0.75,0.75,1982.0,0.0
5.25,0.75,0.0,0.0,0.0,1978.0,0.75
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.0,1979.25,0.0
5.25,1.0,0.0,0.0,0.0,1963.0,0.75
0.0,1.0,0.0,0.0,0.0,1957.0,0.0
1.0,0.0,0.0,0.0,0.0,1979.25,0.0
0.0,1.0,1.0,0.75,0.75,1979.0,0.0
0.0,1.0,0.0,0.0,1.0,1973.0,0.0
0.0,0.75,0.0,0.0,0.0,1979.25,0.75
0.0,1.0,0.75,0.0,0.0,1969.0,1.0
0.0,1.0,1.0,0.0,1.0,1982.0,0.0
0.0,0.0,0.0,0.0,0.0,1961.0,1.0
0.0,1.0,0.0,0.0,1.0,1979.25,0.0
0.0,1.0,0.0,0.0,1.0,1974.0,0.0
5.25,1.0,1.0,0.75,0.0,1964.0,1.0
0.0,0.75,0.0,0.0,0.75,1986.0,0.0
0.0,1.0,0.75,0.0,0.0,1982.0,1.0
5.25,0.0,0.0,0.75,0.0,1956.0,0.0
0.0,0.0,0.0,0.0,0.0,1980.0,1.0
0.0,0.75,0.0,0.0,0.0,1979.25,1.0
5.25,1.0,0.0,0.0,1.0,1979.25,0.75
0.0,1.0,0.0,0.0,0.0,1964.0,0.0
0.0,0.0,0.0,0.0,0.0,1957.0,0.0
0.0,1.0,0.0,0.75,0.0,1971.0,0.0
0.0,1.0,0.0,0.0,1.0,1955.0,0.0
0.0,1.0,1.0,0.75,0.75,1969.0,0.0
0.0,1.0,0.0,0.0,0.0,1979.25,0.0
0.0,1.0,0.0,0.0,0.0,1966.0,1.0
0.0,0.0,0.0,0.0,0.0,1979.25,0.0
0.0,0.75,0.0,0.0,0.0,1979.25,0.0
0.0,1.0,0.0,0.0,0.75,1964.0,0.0
0.0,0.0,0.0,0.75,0.0,1982.0,0.0
0.0,1.0,0.0,0.0,1.0,1986.0,0.75
5.25,0.0,0.75,0.75,1.0,1972.0,0.0
0.0,0.0,0.0,0.75,0.0,1975.0,0.0
0.0,0.0,0.0,0.0,0.0,1979.25,0.0
0.0,1.0,0.0,0.0,1.0,1979.25,0.0
0.0,1.0,0.0,0.0,0.75,1957.0,0.0
0.0,0.0,0.0,0.0,0.0,1958.0,0.75
0.0,1.0,1.0,0.75,0.75,1982.0,0.0
0.0,1.0,0.75,0.75,0.0,1987.0,0.0
0.0,1.0,1.0,0.0,0.0,1985.0,0.75
0.0,1.0,1.0,0.0,0.0,1969.0,1.0
0.0,0.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,0.0,0.0,1.0,1962.0,1.0
0.0,1.0,0.0,0.75,1.0,1985.0,1.0
0.0,0.0,0.0,0.0,0.0,1966.0,0.0
0.0,1.0,0.0,0.0,0.0,1965.0,0.75
0.0,0.0,0.0,0.0,0.0,1957.0,0.75
0.0,1.0,0.0,0.0,1.0,1965.0,0.0
0.0,0.75,1.0,0.0,0.0,1979.25,0.0
0.0,0.75,0.0,0.75,0.75,1965.0,0.0
0.0,0.75,0.0,0.75,1.0,1979.25,1.0
0.0,0.0,0.0,0.75,0.0,1976.0,0.75
0.0,1.0,0.0,0.0,0.75,1973.0,0.75
0.0,0.0,0.75,0.0,1.0,1979.25,0.0
0.0,0.0,0.0,0.0,1.0,1984.0,1.0
5.25,0.75,0.0,0.0,0.75,1953.0,0.75
0.0,1.0,0.0,0.75,0.75,1987.0,1.0
0.0,1.0,0.75,0.0,0.0,1960.0,0.0
5.25,0.0,0.0,0.0,0.0,1979.25,0.0
0.0,0.0,0.75,0.0,0.0,1985.0,0.0
0.0,0.75,0.0,0.0,0.0,1983.0,0.75
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.0,1981.0,0.75
0.0,0.0,0.0,0.0,0.0,1979.25,0.0
0.0,0.75,0.0,0.0,0.0,1960.0,0.0
0.0,0.75,0.0,0.0,1.0,1960.0,0.0
0.0,0.75,0.0,0.75,1.0,1967.0,0.75
0.0,0.0,0.0,0.0,0.0,1979.25,0.0
0.0,1.0,0.0,0.0,0.0,1959.0,0.0
5.25,1.0,0.75,0.0,0.0,1969.0,1.0
0.0,1.0,1.0,0.0,0.0,1957.0,0.0
0.0,0.75,1.0,1.0,0.0,1957.0,0.75
0.0,1.0,0.0,0.0,0.0,1980.0,0.0
0.0,0.75,0.0,0.0,1.0,1981.0,0.0
0.0,0.0,0.75,0.0,0.0,1968.0,0.0
0.0,0.0,0.0,0.0,0.0,1966.0,0.0
0.0,0.75,0.75,0.0,1.0,1988.0,0.0
0.0,1.0,0.0,0.0,0.75,1968.0,1.0
1.0,0.0,0.75,1.0,0.0,1974.0,0.0
0.0,1.0,0.0,0.0,0.75,1986.0,0.0
0.0,0.75,0.0,0.0,0.0,1966.0,0.0
5.25,0.0,0.0,0.0,0.0,1979.25,0.0
5.25,0.0,0.75,0.0,0.0,1985.0,0.0
0.0,0.75,0.75,0.0,1.0,1965.0,0.0
0.0,0.75,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.75,1979.0,0.0
0.0,1.0,0.0,0.75,0.0,1957.0,1.0
0.0,0.75,0.75,0.0,0.0,1980.0,0.75
0.0,0.75,0.0,0.75,1.0,1977.0,0.0
0.0,0.75,0.0,0.75,0.0,1983.0,1.0
0.0,1.0,0.0,0.0,0.0,1960.0,0.0
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.75,0.75,0.0,1.0,1984.0,0.0
0.0,0.0,0.0,0.0,1.0,1972.0,0.0
0.0,1.0,0.0,0.0,0.0,1959.0,0.0
0.0,1.0,0.0,0.75,0.0,1957.0,0.75
7.0,0.75,0.0,0.75,1.0,1981.0,0.0
1.0,0.0,0.0,0.75,0.0,1987.0,1.0
5.25,0.0,0.0,0.0,0.75,1979.0,0.0
5.25,1.0,1.0,0.0,0.0,1979.0,0.75
0.0,1.0,0.0,0.0,0.0,1979.25,0.75
0.0,1.0,0.0,0.75,1.0,1988.0,0.75
0.0,1.0,0.0,0.0,0.0,1968.0,1.0
0.0,0.0,0.0,0.75,0.0,1979.0,0.0
0.0,0.0,0.0,0.0,1.0,1984.0,0.75
3.0,1.0,0.0,0.0,0.75,1968.0,0.75
5.25,1.0,0.75,0.0,0.0,1980.0,0.0
0.0,0.0,0.0,0.0,1.0,1956.0,0.75
0.0,0.75,0.0,0.0,0.0,1971.0,0.0
5.25,1.0,1.0,0.0,0.0,1979.25,0.0
5.25,0.0,0.75,0.0,0.75,1977.0,0.0
0.0,1.0,0.0,0.0,0.0,1972.0,0.0
0.0,1.0,0.75,0.0,0.0,1982.0,1.0
0.0,0.0,0.0,0.0,1.0,1979.25,0.0
5.25,0.0,0.75,0.0,0.0,1974.0,1.0
5.25,0.0,0.0,0.75,0.75,1979.25,0.0
0.0,0.0,0.75,0.0,0.0,1979.25,0.0
0.0,0.0,0.0,0.75,0.75,1973.0,0.0
0.0,1.0,0.0,0.0,0.0,1979.25,0.75
0.0,0.0,0.0,0.0,1.0,1953.0,1.0
0.0,0.0,0.0,0.0,0.0,1983.0,0.0
5.25,0.75,0.0,0.0,0.0,1979.25,0.0
0.0,0.75,1.0,0.0,0.75,1965.0,0.0
5.25,1.0,1.0,0.75,0.0,1974.0,0.0
0.0,0.75,0.0,0.0,0.0,1984.0,0.0
0.0,1.0,1.0,0.0,0.75,1977.0,1.0
0.0,1.0,0.0,0.0,0.0,1979.25,1.0
0.0,1.0,0.0,0.0,0.0,1972.0,0.0
0.0,0.0,0.0,0.0,0.0,1981.0,0.75
0.0,0.75,0.0,0.0,0.0,1966.0,0.0
0.0,0.0,0.0,0.0,0.0,1975.0,0.0
0.0,0.0,0.0,0.0,0.0,1970.0,1.0
