Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.0,1.0,0.02,0.0,0.0,1957.0,1.0
0.0,0.0,0.0,0.0,0.3435,1988.0,1.0
0.0,1.0,0.1,0.0,0.0,1958.0,0.5133333333333333
0.0,0.24782201132201123,0.0,0.0,0.0,1974.3281785714287,0.0
0.21,1.0,0.0,0.0,0.0,1978.0,0.5966190476190476
0.0,1.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,1.0,0.0,0.0,1968.68281290396,0.0
0.0,1.0,0.0,0.0,1.0,1976.0,0.0
0.0,0.16,0.0,0.0,1.0,1985.0,0.04
0.2,1.0,0.0,0.0,0.5313095238095239,1974.0,0.0
0.0,1.0,0.0,0.0,1.0,1968.4414914399922,0.0
0.01,0.0,0.0,0.0,0.0,1986.0,1.0
0.0,1.0,0.0,0.0,0.0,1982.0,0.0
0.22,0.0,0.0,0.0,0.7316666666666666,1979.0,0.0
0.0,0.0,0.0,0.0,0.01,1965.0,0.0
0.0,1.0,0.0,0.0,0.9111904761904761,1982.0,0.0
0.0,0.2963333333333333,0.0,0.0,0.0,1978.0,0.2743333333333333
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.0,1972.3360686477256,0.0
0.2,1.0,0.0,0.0,0.0,1963.0,0.00125
0.0,1.0,0.0,0.0,0.0,1957.0,0.0
1.0,0.0,0.0,0.0,0.0,1970.7925264041517,0.0
0.0,1.0,1.0,0.0,0.67,1979.0,0.0
0.0,1.0,0.0,0.0,1.0,1973.0,0.0
0.0,0.05416666666666666,0.0,0.0,0.0,1972.6580304140307,0.33
0.0,1.0,0.4341666666666666,0.0,0.0,1969.0,1.0
0.0,1.0,1.0,0.0,1.0,1982.0,0.0
0.0,0.0,0.0,0.0,0.0,1961.0,1.0
0.0,1.0,0.0,0.0,1.0,1968.4414914399922,0.0
0.0,1.0,0.0,0.0,1.0,1974.0,0.0
0.02,1.0,1.0,0.01,0.0,1964.0,1.0
0.0,0.16540476190476192,0.0,0.0,0.0775,1986.0,0.0
0.0,1.0,0.47166666666666673,0.0,0.0,1982.0,1.0
0.0,0.0,0.0,0.0,0.0,1956.0,0.0
0.0,0.0,0.0,0.0,0.0,1980.0,1.0
0.0,0.015666666666666666,0.0,0.0,0.0,1972.938387427932,1.0
0.0,1.0,0.0,0.0,1.0,1974.0702683982684,0.0
0.0,1.0,0.0,0.0,0.0,1964.0,0.0
0.0,0.0,0.0,0.0,0.0,1957.0,0.0
0.0,1.0,0.0,0.0,0.0,1971.0,0.0
0.0,1.0,0.0,0.0,1.0,1955.0,0.0
0.0,1.0,1.0,0.04,0.25,1969.0,0.0
0.0,1.0,0.0,0.0,0.0,1970.0816311703736,0.0
0.0,1.0,0.0,0.0,0.0,1966.0,1.0
0.0,0.0,0.0,0.0,0.0,1972.3360686477256,0.0
0.0,0.033166666666666664,0.0,0.0,0.0,1973.4165795958047,0.0
0.0,1.0,0.0,0.0,0.3595172605172604,1964.0,0.0
0.0,0.0,0.0,0.0,0.0,1982.0,0.0
0.0,1.0,0.0,0.0,1.0,1986.0,0.4800238095238095
0.0,0.0,0.0,0.02,1.0,1972.0,0.0
0.0,0.0,0.0,0.0,0.0,1975.0,0.0
0.0,0.0,0.0,0.0,0.0,1972.3360686477256,0.0
0.0,1.0,0.0,0.0,1.0,1968.4414914399922,0.0
0.0,1.0,0.0,0.0,0.15,1957.0,0.0
0.0,0.0,0.0,0.0,0.0,1958.0,0.0
0.0,1.0,1.0,0.0,0.764,1982.0,0.0
0.0,1.0,0.5191666666666667,0.0,0.0,1987.0,0.0
0.0,1.0,1.0,0.0,0.0,1985.0,0.27
0.0,1.0,1.0,0.0,0.0,1969.0,1.0
0.0,0.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,0.0,0.0,1.0,1962.0,1.0
0.0,1.0,0.0,0.029166666666666664,1.0,1985.0,1.0
0.0,0.0,0.0,0.0,0.0,1966.0,0.0
0.0,1.0,0.0,0.0,0.0,1965.0,0.4534523809523811
