Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.0,1,0,0,0,1962.4072121195304,1
0.0,0,0,0,0,1979.9235937174967,1
0.0,1,0,0,0,1967.0642542092419,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
-0.06552370183940522,1,0,0,0,1962.1926216054346,1
0.0,1,0,0,1,1969.0478401965163,0
0.0,1,1,0,0,1980.5263902078768,0
0.0,1,0,0,1,1969.0478401965163,0
0.0,0,0,0,1,1979.9135398359986,0
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
-0.012915226611202854,0,0,0,0,1979.9005253534854,1
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,0,0,0,0,1974.3545887425519,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
0.4376458210221237,0,0,0,0,1978.0,1
0.0,1,0,0,0,1967.0642542092419,0
0.0,0,0,0,0,1974.3545887425519,0
-0.06552370183940522,1,0,0,0,1962.1926216054346,1
0.0,1,0,0,0,1967.0642542092419,0
1.0,0,0,0,0,1976.1432579639181,0
0.0,1,1,0,1,1980.092356321799,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.0,1,1,0,0,1973.7469452069836,1
0.0,1,1,0,1,1980.092356321799,0
-0.012915226611202854,0,0,0,0,1979.9005253534854,1
0.0,1,0,0,1,1969.0478401965163,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
0.05349517546575317,1,1,0,0,1973.8931232426278,1
0.0,1,0,0,0,1967.0642542092419,0
0.0,1,0,0,0,1962.4072121195304,1
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,0,0,0,0,1979.9235937174967,1
-0.012915226611202854,0,0,0,0,1979.9005253534854,1
0.005495809195476722,1,0,0,1,1969.0931908688729,0
0.0,1,0,0,0,1967.0642542092419,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,1,0,0,0,1967.0642542092419,0
0.0,1,0,0,1,1969.0478401965163,0
0.0,1,1,0,1,1980.092356321799,0
0.0,1,0,0,0,1967.0642542092419,0
-0.06552370183940522,1,0,0,0,1962.1926216054346,1
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,1,0,0,0,1967.0642542092419,0
-0.47748787006228427,0,0,0,0,1982.0,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,0,0,0,0,1974.3545887425519,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,1,1,0,1,1980.092356321799,0
-0.037271000308064836,1,1,0,0,1987.0,0
0.05349517546575317,1,1,0,0,1973.8931232426278,1
0.0,1,1,0,0,1973.7469452069836,1
0.0,0,0,0,1,1979.9135398359986,0
0.0,1,0,0,1,1962.0,1
0.0,1,0,0,1,1964.6660576909183,1
0.0,0,0,0,0,1974.3545887425519,0
0.0,1,0,0,0,1967.0642542092419,0
0.0,0,0,0,0,1974.3545887425519,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
0.0,1,1,0,0,1980.5263902078768,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,0,0,0,1,1981.7591472693168,1
0.0,0,0,0,0,1979.9235937174967,1
0.0,1,0,0,0,1967.0642542092419,0
0.0,0,0,0,1,1979.9135398359986,0
0.0,0,0,0,1,1981.7591472693168,1
-0.15729804533945857,0,0,0,1,1981.1164029351544,1
-0.007386996572669238,1,0,0,1,1964.6308714903716,1
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,0,0,0,0,1974.3545887425519,0
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.0,0,0,0,0,1974.3545887425519,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,0,0,0,1,1979.9135398359986,0
0.0,1,0,0,1,1969.0478401965163,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,1,0,0,0,1967.0642542092419,0
0.05349517546575317,1,1,0,0,1973.8931232426278,1
0.04255359667974205,1,1,0,0,1980.5998102514166,0
0.0,1,1,1,0,1969.1217028993904,0
0.0,1,0,0,0,1967.0642542092419,0
0.0,0,0,0,1,1979.9135398359986,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.005495809195476722,1,0,0,1,1969.0931908688729,0
-0.06552370183940522,1,0,0,0,1962.1926216054346,1
1.0,0,0,1,0,1972.1669831174827,0
0.0,1,0,0,0,1967.0642542092419,0
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,1,1,0,1,1980.092356321799,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,0,0,0,0,1974.3545887425519,0
-0.06552370183940522,1,0,0,0,1962.1926216054346,1
0.0,0,0,0,0,1979.9235937174967,1
0.005495809195476722,1,0,0,1,1969.0931908688729,0
-0.2660830069513388,0,0,1,0,1972.9694640160094,1
0.0,1,0,0,0,1967.0642542092419,0
0.0,1,0,0,0,1967.0642542092419,0
0.0,0,0,0,1,1979.9135398359986,0
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.0,1,0,0,0,1967.0642542092419,0
7.0,1,0,0,1,1985.5908011007816,0
1.0,0,0,0,0,1981.508411906581,1
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.04255359667974205,1,1,0,0,1980.5998102514166,0
0.0,1,0,0,0,1967.0642542092419,0
0.0,1,0,0,1,1964.6660576909183,1
0.0,1,0,0,0,1962.4072121195304,1
0.0,0,0,0,0,1974.3545887425519,0
0.0,0,0,0,1,1979.9135398359986,0
3.0,1,0,0,1,1978.4490910038942,0
0.04255359667974205,1,1,0,0,1980.5998102514166,0
0.0,0,0,0,1,1979.9135398359986,0
0.0,0,0,0,0,1974.3545887425519,0
0.04255359667974205,1,1,0,0,1980.5998102514166,0
-0.48850539623708616,0,0,0,0,1977.0,0
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.0,1,0,0,0,1962.4072121195304,1
0.0,0,0,0,1,1979.9135398359986,0
-0.012915226611202854,0,0,0,0,1979.9005253534854,1
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,0,0,0,0,1974.3545887425519,0
-0.06552370183940522,1,0,0,0,1962.1926216054346,1
0.0,0,0,0,1,1981.7591472693168,1
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
-0.014725501454773304,1,1,0,1,1980.070170295585,0
0.04255359667974205,1,1,0,0,1980.5998102514166,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,1,1,0,0,1973.7469452069836,1
0.0,1,0,0,0,1962.4072121195304,1
0.0,1,0,0,0,1967.0642542092419,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,0,0,0,0,1974.3545887425519,0
-0.012915226611202854,0,0,0,0,1979.9005253534854,1
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.0,0,0,0,0,1974.3545887425519,0
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.0,1,1,0,1,1980.092356321799,0
0.0,1,0,0,1,1969.0478401965163,0
0.0,0,0,1,0,1971.6650928716872,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,1,1,0,1,1980.092356321799,0
0.0,1,0,0,0,1962.4072121195304,1
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.0,0,0,0,0,1974.3545887425519,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,1,0,0,1,1969.0478401965163,0
0.0,0,0,0,0,1976.0,0
0.0,1,0,0,0,1967.0642542092419,0
0.0,0,0,0,1,1979.9135398359986,0
0.0,1,0,0,0,1967.0642542092419,0
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.0,1,0,0,0,1967.0642542092419,0
0.5962538464431281,0,0,0,0,1987.0,1
0.0,1,0,0,1,1969.0478401965163,0
0.04430760334213098,0,0,0,0,1974.2918475201022,0
0.0,1,0,0,0,1962.4072121195304,1
-0.06552370183940522,1,0,0,0,1962.1926216054346,1
0.005495809195476722,1,0,0,1,1969.0931908688729,0
0.0,0,0,0,0,1974.3545887425519,0
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.0,1,1,0,0,1980.5263902078768,0
-0.01094967099387778,0,0,0,1,1979.8778445026958,0
0.0,0,0,0,0,1974.3545887425519,0
0.04939712956604209,1,0,0,0,1967.1484316198207,0
0.0,0,0,0,1,1979.9135398359986,0
0.0,0,0,0,0,1974.3545887425519,0
0.0,1,1,0,1,1972.8177979734041,1
0.0,0,0,0,0,1974.0,0
0.0,1,0,0,1,1964.6660576909183,1
0.0,0,0,0,1,1979.9135398359986,0
-0.5369016517961097,1,0,0,0,1962.0,1
0.005495809195476722,1,0,0,1,1969.0931908688729,0
