Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.0,1,0,0,0,1981.513886429218,1
0.0,0,0,0,0,1971.6767049324606,1
0.0,1,0,0,0,1966.1617719203623,0
0.018719781466199806,0,0,0,0,1939.3224962585518,0
-0.6981749431710182,1,0,0,0,1969.0134998674562,1
0.0,1,0,0,1,1974.1140428694307,0
0.0,1,1,0,0,1970.905672775206,0
0.0,1,0,0,1,1978.9841916103637,0
0.0,0,0,0,1,1977.2398527100845,0
-0.7513806322494898,1,0,0,0,1966.7603590970461,0
-0.5078920590520973,1,0,0,1,1993.720741891755,0
0.7433769471867472,0,0,0,0,1969.3783534304239,1
0.0869639274881241,1,0,0,0,1966.474807125023,0
0.003144165616591893,0,0,0,0,1978.1034175749578,0
0.0,0,0,0,0,1978.7390486456247,0
-0.4291628049365662,1,0,0,1,1962.3771484698402,0
-0.2178850402909079,0,0,0,0,1978.0,1
0.0,1,0,0,0,1991.8390313368843,0
0.0,0,0,0,0,1982.4665301860985,0
0.38544248972698203,1,0,0,0,1957.576707368747,1
0.0,1,0,0,0,1988.7254094816665,0
1.0,0,0,0,0,1963.557834301676,0
0.0,1,1,0,1,1954.0520824836844,0
0.045334814264298015,1,0,0,1,1977.2697488445062,0
-0.3952526815920886,1,0,0,0,1974.4047369534496,0
0.0,1,1,0,0,1950.2322268965036,1
0.0,1,1,0,1,1958.947542935359,0
0.18989656177893535,0,0,0,0,1971.6601609205245,1
0.0,1,0,0,1,1971.6848810428914,0
0.700273097633927,1,0,0,1,1969.862242830133,0
-0.04815855177898637,1,1,0,0,1982.3824172360296,1
0.0,1,0,0,0,1957.4902455773447,0
0.0,1,0,0,0,1977.038070307039,1
-1.0286506819353045,0,0,0,0,1973.178030874508,0
0.0,0,0,0,0,1966.597140932953,1
0.23163939706012726,0,0,0,0,1970.5801326951566,1
-1.1182107071040526,1,0,0,1,1979.1816975135805,0
0.0,1,0,0,0,1985.6431462021828,0
0.0,0,0,0,0,1980.3553734465397,0
0.0,1,0,0,0,1977.1558301250022,0
0.0,1,0,0,1,1984.5334623403635,0
0.0,1,1,0,1,1986.9992978867133,0
0.0,1,0,0,0,1970.7034109199565,0
0.07533345033645664,1,0,0,0,1970.4381543778309,1
-0.7411972562590399,0,0,0,0,1967.9485907762182,0
0.0,0,0,0,0,1961.4583801563651,0
0.0,1,0,0,0,1969.2124697607153,0
-0.3732666001273003,0,0,0,0,1982.0,0
-0.15980268423393904,1,0,0,1,1972.4935780460096,0
0.2200288520345729,0,0,0,1,1951.52904495766,0
0.0,0,0,0,0,1968.5158758673433,0
0.0,0,0,0,0,1972.541841747318,0
-0.08844363676354686,1,0,0,1,1974.0237122465294,0
-0.29092516054918616,1,0,0,1,1958.8085022152748,0
-0.5685770783367582,0,0,0,0,1971.4512270663586,0
0.0,1,1,0,1,1963.6285981280662,0
-0.264291965181772,1,1,0,0,1987.0,0
-0.7147976468582656,1,1,0,0,1975.5948331159168,1
0.0,1,1,0,0,1978.8336243996825,1
0.0,0,0,0,1,1970.1162011992305,0
0.0,1,0,0,1,1962.0,1
0.0,1,0,0,1,1972.7191976021506,1
0.0,0,0,0,0,1960.2093417394933,0
0.0,1,0,0,0,1978.879719378061,0
0.0,0,0,0,0,1976.1919228150123,0
0.8377837942377155,1,0,0,1,1975.890739880266,0
0.0,1,1,0,0,1970.6624314069793,0
0.0,0,0,0,0,1963.316350077838,0
0.0,0,0,0,1,1965.295002280754,1
0.0,0,0,0,0,1964.6113386381885,1
0.0,1,0,0,0,1970.145742503269,0
0.0,0,0,0,1,1986.5604375089558,0
0.0,0,0,0,1,1983.7969112357505,1
0.2850042049441786,0,0,0,1,1973.9658673648157,1
0.5309737682446604,1,0,0,1,1954.2898894333853,1
-0.22549546842009682,1,0,0,0,1972.4468207511013,0
0.018293947210427514,0,0,0,0,1976.3824905000358,0
0.0,0,0,0,0,1994.1192795540987,0
0.0,0,0,0,0,1969.848130408102,0
-0.3532790703954076,1,0,0,0,1967.6422526720448,0
0.0,0,0,0,0,1960.1601304484868,0
0.6884040108341726,0,0,0,0,1978.8539223988762,0
0.0,0,0,0,0,1956.975778230379,0
0.0,0,0,0,1,1965.2667751342801,0
0.0,1,0,0,1,1982.0483611824861,0
-0.5074749999234041,0,0,0,0,1974.074807832676,0
0.0,1,0,0,0,1956.5361517426586,0
0.11654309974783321,1,1,0,0,1962.8796654104085,1
-0.4787119189223076,1,1,0,0,1955.862487782292,0
