theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2
0.94756,1.587119,-0.054209,0.423558,1.141919,-0.390039,0.155347,-0.290002
1.116329,0.05226856483516483,-0.02741293967352733,1.425173,-1.139669,0.502904,0.052445000000000006,-0.5621229999999999
-0.772767,0.05226856483516483,-0.02741293967352733,-0.303119,-1.373903,-0.479746,0.23905,0.105962
1.732862,0.9440572500000002,0.93680725,0.774893,-1.413025,1.729672,0.25563400000000003,0.448013
-0.013092,-0.16026140000000005,0.042901200000000035,-1.017362,1.509665,1.436316,0.451138,-0.531058
-0.508604,0.05226856483516483,-0.02741293967352733,1.001003,-1.254646,-1.7268740000000002,0.31055,-0.587424
0.969527,1.667919,-0.612394,-1.259423,0.92689,0.964193,-0.529397,0.429928
-0.154513,0.5652409799999996,-0.425298,-0.233104,-0.842808,-1.510186,0.357518,0.396822
0.401644,-0.92457625,-0.94383425,-1.833789,-1.460544,-1.474317,0.251336,0.197615
-0.937387,0.14060999999999998,0.570395,0.037877,-0.5084850000000001,0.28475100000000003,0.5704520000000001,-0.415305
1.582581,0.05226856483516483,0.004739,0.474936,1.349819,-0.908626,0.199056,-0.058021
0.087686,-0.92457625,-0.94383425,1.071619,1.833052,0.396176,0.278345,0.5424680000000001
-0.8669549999999999,-0.2034776,-0.4937886,1.464591,1.62358,0.887123,-0.037856,-0.253058
0.161267,0.05226856483516483,1.325051,1.2712629999999998,-1.7463229999999998,-1.686191,-0.440234,0.185635
1.7586389999999998,0.9440572500000002,1.595861,-1.289152,-1.097185,-1.747718,0.399927,0.378233
-0.29132600000000003,0.05226856483516483,-0.02741293967352733,-0.057786,1.433989,0.01563,-0.381398,0.251301
-1.59227,0.05226856483516483,0.949921,-0.24545300000000006,-1.045792,-1.295547,0.236473,0.009698
-1.169641,-1.858893,-1.884155,1.767575,0.725929,1.259275,0.11195,-0.052218
1.469592,0.05226856483516483,-0.409448,-1.504609,0.595742,-0.254675,-0.46915,0.196598
-0.908354,1.043671,-1.590482,0.959393,0.611627,-0.933607,-0.245321,0.088989
-1.447538,-1.858893,-0.070904,-0.3923,0.188878,0.209525,0.126345,-0.5227310000000001
0.894784,0.454532,1.877128,-0.81311,-0.019615,-1.69268,-0.359026,-0.542481
-0.058464,1.335459,-0.94383425,0.316273,0.030377,1.614932,-0.379163,-0.598966
-1.154492,0.05226856483516483,-1.038684,1.303103,1.843168,0.770131,0.474458,0.223476
-1.197698,0.9440572500000002,0.93680725,1.719945,-0.569836,-1.662175,-0.35999200000000003,0.007572
-1.597204,0.311998,0.267373,-0.127752,1.728111,0.972167,0.130442,-0.056911
0.9917,0.717363,0.54486,0.344929,-0.905028,0.780883,0.392177,-0.275301
0.198332,0.764123,-1.769957,0.896666,-1.839564,-0.504108,-0.49344,-0.048605
-1.2679280000000002,0.05226856483516483,0.593188,-1.7103240000000002,0.157589,-1.65392,-0.598223,0.46412
-0.621271,0.2543623626226472,-0.6777447429351119,-0.774158,-1.308923,-1.6387779999999998,0.010691,-0.323268
-0.090401,0.05226856483516483,-0.02741293967352733,-1.835141,-1.578032,-0.65186,-0.143459,-0.310361
-1.824906,0.31257504,-0.2959796299999999,1.870934,-0.042958,1.836164,-0.026708,-0.080471
0.641509,0.4259504399999999,0.3162551133333336,-0.385659,-1.295388,-0.348983,0.200352,0.123951
-1.327676,-0.3143568038998469,0.10672973749011898,1.190173,0.080464,-1.033435,-0.303295,0.12371
0.170934,0.9440572500000002,0.93680725,0.21598,-0.445964,-0.72806,0.200918,0.021391
1.039311,0.05226856483516483,-0.02741293967352733,0.44367,-0.126583,-1.252072,0.022647,0.22863000000000006
0.112056,-1.858893,0.5609430000000001,-0.772036,0.430748,1.355964,0.180747,-0.591906
0.316103,0.24735078999999985,-0.790463945,1.264815,-0.788898,-0.22645,0.529998,0.074813
1.846593,1.770916,-0.02741293967352733,0.800963,-0.561654,0.142331,-0.5504220000000001,-0.14468499999999998
0.030346,0.021566799999999952,-0.715759,0.15088900000000002,-1.157354,1.0956629999999998,-0.382407,0.08619
1.7627509999999995,0.05226856483516483,-0.02741293967352733,1.689546,1.230747,-0.343357,0.294981,0.539169
