theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2
0.9475600000000001,1.535064,-1.4530290000000001,-1.8846319999999999,1.1419190000000001,-1.8835939999999998,0.155347,-0.290002
1.1163290000000001,-0.709627,-1.884293,1.425173,-1.139669,-1.8835939999999998,-0.599531,-0.5621229999999999
-0.772767,-0.5567300000000001,-0.045104000000000005,-0.303119,-1.373903,-0.479746,0.23905,-0.599196
1.732862,1.64775,-0.039656,0.774893,-1.884136,1.729672,0.25563400000000003,0.448013
-0.013092,-1.3776549999999999,0.542087,-1.017362,1.509665,1.436316,0.451138,-0.531058
-1.884729,-1.7109189999999999,-1.884293,1.001003,-1.884136,-1.8835939999999998,0.31055,-0.599196
0.969527,1.277118,-1.884293,-1.259423,0.92689,0.9641930000000001,-0.529397,0.429928
-0.154513,0.567693,-0.42529799999999995,-0.233104,-1.884136,-1.510186,0.357518,0.39682199999999995
-1.884729,-1.4847569999999999,-1.884293,-1.833789,-1.460544,-1.474317,-0.599531,0.197615
-1.884729,-1.883648,0.421025,0.037877,-0.5084850000000001,0.28475100000000003,0.5704520000000001,-0.41530500000000004
1.582581,-1.883648,0.004739,0.47493599999999997,-1.884136,-0.908626,0.19905599999999998,-0.058021
-1.884729,-0.290104,-1.290369,1.071619,1.8330520000000001,0.39617600000000003,0.278345,-0.599196
-0.8669549999999999,-0.211558,-0.6349229999999999,1.464591,1.62358,0.887123,-0.037856,-0.253058
0.161267,-1.883648,1.325051,1.2712629999999998,-1.7463229999999998,-1.8835939999999998,-0.440234,0.185635
1.7586389999999998,-1.883648,1.595861,-1.289152,-1.097185,-1.747718,0.399927,0.378233
-1.884729,0.795409,0.32703499999999996,-0.057786000000000004,-1.884136,0.01563,-0.381398,0.251301
-1.59227,1.326602,0.9499209999999999,-0.24545300000000003,-1.045792,-1.295547,0.236473,0.009698
-1.169641,-1.8310830000000002,-1.884293,-1.8846319999999999,0.725929,-1.8835939999999998,0.11195,-0.052217999999999994
-1.884729,-1.883648,-0.409448,-1.504609,0.595742,-0.254675,-0.46915,-0.599196
-0.9083540000000001,1.439532,-1.884293,-1.8846319999999999,-1.884136,-0.933607,-0.245321,-0.599196
-1.447538,-1.883648,-0.070904,-1.8846319999999999,-1.884136,0.209525,0.126345,-0.5227310000000001
0.894784,0.454532,-1.884293,-0.81311,-0.019615,-1.69268,-0.359026,-0.542481
-0.058464,1.335459,-1.884293,0.316273,-1.884136,-1.8835939999999998,-0.37916300000000003,-0.598966
-1.154492,0.17870999999999998,-1.038684,1.3031030000000001,1.8431680000000001,0.770131,0.474458,-0.599196
-1.197698,1.608319,0.751976,1.719945,-0.569836,-1.662175,-0.35999200000000003,0.007572
-1.597204,1.3352680000000001,-1.884293,-1.8846319999999999,1.728111,0.972167,-0.599531,-0.056911
0.9917,0.717363,0.54486,-1.8846319999999999,-0.905028,0.780883,0.392177,-0.599196
0.19833199999999998,0.764123,-1.471618,0.896666,-1.839564,-1.8835939999999998,-0.49344,-0.048605
-1.2679280000000002,-1.883648,0.593188,-1.8846319999999999,0.157589,-1.65392,-0.599531,0.46412
-0.621271,0.9527639999999999,-1.484952,-0.774158,-1.308923,-1.8835939999999998,0.010690999999999999,-0.323268
-0.090401,-0.09643600000000001,0.26008600000000004,-1.835141,-1.5780319999999999,-1.8835939999999998,-0.143459,-0.310361
-1.8249060000000001,0.794189,-1.318359,1.870934,-0.042957999999999996,1.836164,-0.599531,-0.080471
0.641509,-0.098401,1.165247,-0.38565900000000003,-1.295388,-0.348983,0.200352,-0.599196
-1.327676,-0.14016900000000002,-1.884293,-1.8846319999999999,0.080464,-1.033435,-0.303295,0.12370999999999999
0.170934,0.22281700000000002,1.36828,0.21598,-0.445964,-0.72806,0.200918,0.021391
1.039311,1.70327,-1.8487040000000001,0.44367,-0.126583,-1.2520719999999999,0.022647,-0.599196
0.11205599999999999,-1.883648,0.5609430000000001,-0.772036,-1.884136,1.355964,-0.599531,-0.599196
0.316103,0.932371,-1.884293,-1.8846319999999999,-0.788898,-0.22645,0.529998,0.074813
1.846593,1.770916,-1.884293,0.800963,-1.884136,0.14233099999999999,-0.5504220000000001,-0.14468499999999998
0.030345999999999998,1.091401,-1.21573,0.15088900000000002,-1.884136,-1.8835939999999998,-0.599531,0.08619
-1.884729,-1.183423,-1.884293,1.689546,1.230747,-0.343357,0.294981,0.539169
-1.884729,-0.873876,0.333696,-1.205314,-1.884136,-0.794089,-0.245969,-0.599196
1.483131,0.337056,-1.278384,-1.072227,-0.737822,-1.341359,-0.599531,0.39710500000000004
-1.884729,-0.068194,-0.077692,-1.378788,0.348089,-0.570692,-0.599531,-0.262565
0.491045,-1.883648,-1.042445,-1.592203,-1.884136,0.17294600000000002,0.034902999999999997,-0.183231
0.971722,-1.883648,0.806036,1.759078,1.175711,-1.695401,-0.599531,-0.599196
1.663513,1.008091,1.012991,0.41974799999999995,1.2021629999999999,1.807348,-0.599531,0.227694
1.616919,-1.883648,1.784646,1.138882,-1.884136,0.903064,0.04495,-0.527564
-1.682965,0.046751999999999995,-1.884293,-1.7432,1.7840599999999998,-1.177346,0.194296,0.337999
-1.884729,0.28112600000000004,1.189308,0.6253479999999999,-0.290325,-1.223683,-0.501777,-0.599196
-0.261712,0.892766,0.472988,-1.8846319999999999,-1.309888,0.990442,-0.499529,-0.599196
-0.411066,-1.883648,-0.977115,-0.633067,-1.269951,-1.8835939999999998,-0.599531,-0.599196
0.406244,0.42935,0.47684099999999996,-1.8846319999999999,-1.884136,-1.8835939999999998,0.342997,-0.047711
-1.884729,-1.883648,-1.884293,1.557501,-1.884136,-0.050488,-0.102383,0.043647000000000005
-0.14385699999999998,-1.294057,-0.6044350000000001,-1.8846319999999999,-1.884136,0.46637399999999996,0.223744,-0.34123000000000003
-0.020501,-1.4920870000000002,-1.884293,-1.8846319999999999,-1.529708,0.986175,-0.52958,-0.253809
0.009518,1.625191,1.578708,0.7177,-1.3371680000000001,-1.33375,-0.599531,0.59734
