Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
0.0,1.0,0.0,0.0,0.0,1957.0,1.0
0.0,0.0,0.0,0.0,0.4,1988.0,1.0
0.0,1.0,0.4,0.0,0.0,1958.0,0.8
0.0,0.6,0.0,0.0,0.0,1976.2,0.0
0.0,1.0,0.0,0.0,0.0,1978.0,0.2
0.0,1.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,1.0,0.0,0.0,1970.6,0.0
0.0,1.0,0.0,0.0,1.0,1976.0,0.0
0.0,0.4,0.0,0.0,1.0,1985.0,0.2
0.0,1.0,0.0,0.0,0.4,1974.0,0.0
0.0,1.0,0.0,0.0,1.0,1972.2,0.0
0.0,0.0,0.0,0.0,0.0,1986.0,1.0
0.0,1.0,0.0,0.0,0.0,1982.0,0.0
0.4,0.0,0.0,0.0,0.0,1979.0,0.0
0.0,0.0,0.0,0.0,0.2,1965.0,0.0
0.0,1.0,0.0,0.0,0.4,1982.0,0.0
0.2,0.2,0.0,0.0,0.0,1978.0,0.2
0.0,1.0,0.0,0.0,0.0,1969.0,0.0
0.0,0.0,0.0,0.0,0.0,1976.0,0.0
0.0,1.0,0.0,0.0,0.0,1963.0,0.2
0.0,1.0,0.0,0.0,0.0,1957.0,0.0
1.0,0.0,0.0,0.0,0.0,1970.6,0.0
0.0,1.0,1.0,0.2,0.2,1979.0,0.0
0.0,1.0,0.0,0.0,1.0,1973.0,0.0
0.0,0.6,0.0,0.0,0.0,1969.8,0.2
0.0,1.0,0.0,0.0,0.0,1969.0,1.0
0.0,1.0,1.0,0.0,1.0,1982.0,0.0
0.0,0.0,0.0,0.0,0.0,1961.0,1.0
0.0,1.0,0.0,0.0,1.0,1972.2,0.0
0.0,1.0,0.0,0.0,1.0,1974.0,0.0
0.0,1.0,1.0,0.0,0.0,1964.0,1.0
0.0,0.4,0.0,0.0,0.4,1986.0,0.0
0.0,1.0,0.2,0.0,0.0,1982.0,1.0
0.0,0.0,0.0,0.0,0.0,1956.0,0.0
0.0,0.0,0.0,0.0,0.0,1980.0,1.0
0.0,0.8,0.0,0.0,0.0,1968.4,1.0
1.0,1.0,0.0,0.0,1.0,1979.2,0.4
0.0,1.0,0.0,0.0,0.0,1964.0,0.0
0.0,0.0,0.0,0.0,0.0,1957.0,0.0
0.0,1.0,0.0,0.0,0.0,1971.0,0.0
0.0,1.0,0.0,0.0,1.0,1955.0,0.0
0.0,1.0,1.0,0.0,0.6,1969.0,0.0
0.0,1.0,0.0,0.0,0.0,1970.8,0.0
0.0,1.0,0.0,0.0,0.0,1966.0,1.0
0.0,0.0,0.0,0.0,0.0,1976.0,0.0
0.0,0.4,0.0,0.0,0.0,1971.0,0.0
0.0,1.0,0.0,0.0,0.4,1964.0,0.0
0.0,0.0,0.0,0.0,0.0,1982.0,0.0
0.0,1.0,0.0,0.0,1.0,1986.0,0.0
0.0,0.0,0.0,0.0,1.0,1972.0,0.0
0.0,0.0,0.0,0.0,0.0,1975.0,0.0
0.0,0.0,0.0,0.0,0.0,1976.0,0.0
0.0,1.0,0.0,0.0,1.0,1972.2,0.0
0.0,1.0,0.0,0.0,0.6,1957.0,0.0
0.0,0.0,0.0,0.0,0.0,1958.0,0.0
0.0,1.0,1.0,0.0,0.6,1982.0,0.0
0.0,1.0,0.0,0.0,0.0,1987.0,0.0
0.0,1.0,1.0,0.0,0.0,1985.0,0.0
0.0,1.0,1.0,0.0,0.0,1969.0,1.0
0.0,0.0,0.0,0.0,1.0,1963.0,0.0
0.0,1.0,0.0,0.0,1.0,1962.0,1.0
0.0,1.0,0.0,0.2,1.0,1985.0,1.0
0.0,0.0,0.0,0.0,0.0,1966.0,0.0
0.0,1.0,0.0,0.0,0.0,1965.0,0.0
0.0,0.0,0.0,0.0,0.0,1957.0,0.2
0.0,1.0,0.0,0.0,1.0,1965.0,0.0
0.0,0.8,1.0,0.0,0.0,1970.2,0.0
0.0,0.2,0.0,0.0,0.4,1965.0,0.0
0.0,0.6,0.0,0.0,1.0,1967.2,1.0
